,logFC,mod_t,p,fdr_all,kME,fdr_in_module
CD74,0.2882166799376007,3.401412406727588,0.0010575420502069205,0.26470869863932694,0.732682762440311,0.023762740712638883
CIDEB,0.228395087983432,2.7171611125104542,0.008099634314049106,0.26470869863932694,0.7319964815965604,0.04224155454507058
TLN1,0.2293459322384397,2.599528642026881,0.011150277218773104,0.27890423076573184,0.7306514340584912,0.05017624748447897
APEH,0.12162181394089444,1.6350338016960506,0.10604989882137486,0.4409822648657978,0.7306071604191676,0.15477552800957411
SBNO2,0.10533582966638688,1.4468545506027313,0.15192308397833124,0.4952340762101174,0.7305097767897665,0.2028247674647236
RAB11B,0.16296256761699457,2.1052470552003792,0.038470915039397445,0.3387602780700545,0.7302085053407797,0.08802667000540094
LOC101930075.2,0.22721655633363103,2.8051186313658607,0.00633933833394807,0.26470869863932694,0.7254992042086142,0.04015137693090808
LY6G5C,0.18142203519889932,2.8489253820592952,0.0056003690421348095,0.26470869863932694,0.7243351219413582,0.03890466801866479
CANT1,0.09989278721740469,1.348916560803101,0.18124596282146083,0.5214944196064155,0.7241733930354636,0.23346078153823618
MGRN1,0.05120295213461912,0.5979171873256592,0.5516180045380686,0.7909596000396908,0.7239093885737865,0.5863655953751123
FAM65A,0.1880758088622212,3.084454165779669,0.0028159397019981844,0.26470869863932694,0.7227730060217784,0.031131358888030168
MRPL4,0.11828894498302223,1.8640707954241373,0.06605409376538612,0.3812414325065295,0.7207641651814365,0.11656604782126964
BCKDK,0.11478042851390047,1.7745718021254637,0.07984942616049537,0.40509196492458516,0.7191132352543143,0.1322659206339494
ZNF574,0.19364040526508308,3.272971054819313,0.0015841827141759256,0.26470869863932694,0.7190934656814866,0.023762740712638883
KDM5C,0.135771114708215,2.1271846712706703,0.036547816875683516,0.3352489897064724,0.7184311097601843,0.08774526660438464
GTPBP2,0.06843756193300488,1.014362040959362,0.31352940007711805,0.6327891286519072,0.7156058270193483,0.355684613532865
VIPR1,0.10854008784583602,1.5754182359167794,0.11918571249172194,0.4598329729733434,0.7150032614643884,0.16848242079981637
TAF6,0.1786076538932555,2.783938162224856,0.006727805618326142,0.26470869863932694,0.7148699373694717,0.0412842617488195
CENPT,0.0656027806464703,0.9010634601366373,0.37031349495437593,0.6757878954269083,0.7140558695011757,0.40962433929059405
