,logFC,mod_t,p,fdr_all,kME,fdr_in_module
LTK,0.10055058800810013,1.6475568416681066,0.1034449652126444,0.4390538261387551,0.5445377532008613,0.15368434029326264
LSP1,0.07007518517177491,0.9265718677502824,0.35699165056327187,0.6662886166082043,0.544259271972668,0.39665738951474655
HLA-DRB1.1,0.0720245333436349,1.1926132008101664,0.236616915628053,0.5724924202486469,0.54389491406726,0.28648684851827044
PPIP5K1,0.20609727240063958,2.802040923719085,0.006394478548255731,0.26470869863932694,0.5436122118177572,0.04015137693090808
EEF2,0.15438966909843366,2.038939782543115,0.04482537857243873,0.3568051164447128,0.5354171928196024,0.09597079310086966
TUBG2,0.06703066181682793,0.9819020096782988,0.32916770308908044,0.6465196202948587,0.535127315462265,0.3687770947471026
RPS6KA4,0.1496221630958825,2.536570075607556,0.013179880815739554,0.2795059819889614,0.5346437783580245,0.05364300041354508
ZAP70,0.09021475748354923,1.4939322045462369,0.13920615653519122,0.47945239693504316,0.5269829561290328,0.19079016377919608
MIR6824,0.16080686401486677,2.1913312156627534,0.03139589338045845,0.321598668673937,0.526353743218085,0.08151343251553313
ATP1A1,0.1631661982966226,2.6590048682062903,0.009497344395167974,0.26609896397716015,0.5251139186370837,0.0466233270308246
FHOD1,0.09836010998945577,1.5663540895499053,0.12129222674131407,0.4625063135795067,0.5217134210125564,0.1705671938549729
