,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME15,ME16,ME17,ME18,ME19,ME20,ME21
GSM1123388,0.19342990535685364,0.6711493430455057,-0.847275040064354,0.6794589336021434,-1.111834007200998,-1.0663100975510247,-1.2589576352812246,-1.3571144930237975,-1.4434896646165223,-0.8979289968846222,-1.1696092480933127,-0.2677326443928084,-0.3725888348824905,-0.35097202794024057,1.7205473252182395,0.3425748711105975,1.3185117369994432,1.508037748013678,1.7224307283471267,2.3634825940446964,-0.6252067699610157
GSM1123391,-0.3746348580836354,0.94016688883588,0.519122632084069,0.7474474632495786,-0.6339354688842533,-0.7574853116772079,-0.29526136600329544,-1.8656754185746465,-1.45354621028613,-1.134298653338682,-0.9874387670734085,1.303989449613051,0.7810787295723459,-0.49553046763209535,1.1806783756189745,-1.078813916470139,-0.36714627214713114,0.9543166329928076,-0.4891085564369236,0.4716337579319822,0.11866199744835354
GSM1123394,0.34675211367268216,1.6735312914160407,0.9720730457361499,-0.5092097525099891,0.3776434028098785,-0.179745050848561,-0.23374629441859207,-0.7225613801947209,-1.4785999530926537,-1.240461854951958,-0.6285404575859849,-1.9762548373236977,1.0419154973633433,1.0319725167183422,1.0660237972444613,-0.35997348999999296,0.7856482034383828,0.3296464017606955,-1.3029082326986356,-0.15469872758219524,-0.7851278114580262
GSM1123397,-1.2145984184542156,-0.4521980112533461,-1.2485164500812966,0.8071506675427568,0.038342392059393694,-0.22200911126771863,-1.3479286123061696,-0.170353287835115,-1.0274510409191129,-0.1986230936092884,-0.6835316319110318,-1.7717750123652836,0.3188087446262673,-0.7723910957982298,1.1827340463762217,1.617427623782805,1.7503150445221034,-0.5936037230716487,0.23371148455091362,0.2704135897400423,0.9090572057692444
GSM1123400,-0.9299385544131918,1.1688956731165134,0.016706105123025568,0.7572594534864555,-0.7519449435042069,-1.1364133802433494,-0.8101524846993123,-1.4311581972304959,-2.2047174092669812,-0.9323268870997895,-1.3188423521115726,-2.062948845707859,0.16855373945420404,0.7219432760998297,1.5266111245916991,0.47362446335743597,1.5392694583709186,1.397865216755387,0.1793023264916938,1.4817077009248332,0.40947325523190037
GSM1123403,-0.1096295909035306,0.25791051115839997,-0.5590187747448009,-1.298382763597487,-0.17753912188061793,-0.2777598517162869,-0.48767900034821243,-0.5138616744514715,-0.3006486280699441,-0.4641272119994101,-0.7005822887485953,2.252050028547472,-0.3283677102112544,-0.938848334254293,1.1963406925527136,0.03007380196567444,-0.8677932478410434,0.4169043111961332,-0.2001921516378133,0.5708334854157748,0.2904291804477334
GSM1123406,1.146270439193158,-0.0197053542350959,0.7917023020545528,-1.0618031990925618,0.46349703811807075,0.5416696042493965,-0.08107986762525879,1.7134321065992681,0.034034442338610006,-0.8435969577960618,0.0513243552129843,-1.533346927594493,-0.596341550931724,-0.20610257457568404,1.1709168053362007,-0.44950820245509476,0.16934114122476268,0.9200739095821839,-0.42427257900595355,0.3548190533572065,1.2247077540018256
GSM1123409,0.8714791278778454,0.019576605143935322,0.3079540634184272,-0.8785068521701097,0.6185572441011298,0.4678559372169228,0.40366544971127355,0.8474192022809839,-0.03756902310928289,-0.5684570680103042,-0.10086873095084124,-0.6162187599283294,-1.5830043813086632,-0.469961649501854,0.9797825494214614,0.9455695432197534,0.04538694053129991,0.16400524156088672,-1.3677239580780614,-0.23337184682712347,0.5411577379078635
GSM1123412,0.7523541269918346,1.1115606174598056,1.4362219524226525,-0.16837134219917924,-0.5242999973955857,-0.33988170341765944,1.2865035751142742,1.5149153201634775,-0.5016129106159621,-0.9227870121183802,-0.5908736893564412,-1.8149650222187759,-0.4432281117854606,-0.7521267766558496,0.5616717835098539,-1.7887890089197456,-1.970208120831643,0.38029698817077273,-0.6999994164278279,-0.5238431039785214,-0.4688412331790584
GSM1616280,-2.1375583667287654,-1.6842046277087788,-1.61880980335959,-0.7427409243451607,-1.5833784123578334,-0.9508505836746578,-1.3295480388109278,-1.2112798144859978,-1.8040765489796724,-1.6657894640674198,-1.6749189340796855,-1.2941624540448766,-1.383178951460109,-0.6767303546819563,-1.3043193619637805,-1.4692397749625505,-1.2759254880494828,-1.7965593760786116,-1.3608091583944444,-1.4549089116990137,-1.4218530603300736
